id;name;lat;lon
490028200;Wien Donaumarina;48.20612;16.430969
490120400;Wien Schüttauplatz;48.226372;16.423211
490070400;Wien Panikengasse;48.208052;16.324321
490127200;Wien Sommarugagasse;48.226166;16.331629
490144100;Wien Waldgasse;48.173012;16.380809
490000100;Wien Schrankenberggasse;48.173803;16.389807
490086100;Wien Mayssengasse;48.215999;16.325462
490043700;Wien Grenzgasse;48.193283;16.329687
490088400;Wien Mendelssohngasse;48.225402;16.424524
490008600;Wien Arthaberplatz;48.172491;16.372161
490050100;Wien Henriettenplatz;48.190173;16.331971
490091700;Wien Neue Donau Mitte;48.219945;16.42829
490012700;Wien Fernkorngasse;48.174064;16.363568
490084400;Wien Marx-Meidlinger-Straße;48.180455;16.344232
490078100;Wien Leystraße;48.24409;16.376917
490072700;Wien Kundratstraße;48.175817;16.355459
490103000;Wien Pokornygasse;48.241151;16.355495
490022500;Wien Davidgasse;48.175475;16.356331
490132400;Wien Stiegergasse;48.188069;16.333085
490037600;Wien Gatterburggasse;48.239586;16.34914
490049300;Wien Heiligenstädter Brücke;48.243874;16.36791
490011700;Wien Belgradplatz;48.17428;16.360736
490039900;Wien Zippererstraße;48.179494;16.411121
490007300;Wien Antonigasse;48.22595;16.329786
490038200;Wien Geiereckstraße;48.175035;16.399623
490082000;Wien Längenfeldgasse;48.185112;16.33536
490055600;Wien Huglgasse;48.197921;16.325193
490008200;Wien Arndtstraße;48.183772;16.337184
490051000;Wien Herzgasse;48.172419;16.365932
490034100;Wien Forsthausgasse;48.24525;16.37502
490173200;Wien Verbindungsweg;48.241294;16.403174
490042000;Wien Gregor-Mendel-Straße;48.234139;16.337778
490187200;Wien Inzersdorfer Straße/Bernhardtstalgasse;48.173156;16.361195
490174000;Wien Martin-Luther-King-Park;48.175556;16.351711
490024400;Wien Dr.-Adolf-Schärf-Heim;48.245834;16.369878
490022100;Wien Dampfschiffhaufen;48.21714;16.432227
490065200;Wien Kappgasse;48.18628;16.422771
490089700;Wien Muthgasse;48.24507;16.366175
490014400;Wien Blaasstraße;48.237114;16.341976
490146100;Wien Weinhauser Gasse;48.230247;16.331404
490047000;Wien Hans-Mandl-Berufsschule;48.181525;16.338605
490113200;Wien Rustengasse;48.19135;16.327485
490017900;Wien Brüßlgasse;48.205994;16.320707
490043900;Wien Gunoldstraße;48.244656;16.361707
490061600;Wien Leibnizgasse;48.170801;16.375335
490103900;Wien Praterbrücke;48.203396;16.434268
490001100;Wien Aignerstraße;48.246283;16.374948
490152600;Wien Simonygasse;48.227631;16.328375
490036800;Wien Flurschützstraße/Längenfeldgasse;48.17935;16.34007
490175500;Wien Antonsplatz;48.170262;16.378499
490070200;Wien Hauffgasse;48.177705;16.412775
490061800;Wien Julius-Payer-Gasse;48.234292;16.420802
490038300;Wien Geistingergasse;48.245537;16.362813
490034400;Wien Franz-Josef-Spital;48.174918;16.348888
490020800;Wien Chimanistraße;48.239533;16.343764
490048400;Wien Geiselbergstraße;48.175386;16.407192
490021700;Wien Czartoryskigasse;48.227811;16.327449
490119000;Wien Schuhmeierplatz;48.211513;16.319332
490010900;Wien Barawitzkagasse;48.24462;16.355684
490080300;Wien Linnéplatz;48.236791;16.337796
490097200;Wien Obersteinergasse;48.240584;16.34496
490139200;Wien Knöllgasse/Troststraße;48.172779;16.353707
490135100;Wien Michael-Neumann-Gasse;48.246922;16.36728
490039300;Wien Gersthof;48.231155;16.329121
490027200;Wien Eisenstadtplatz;48.16948;16.384567
490066900;Wien Familienplatz;48.213527;16.318927
490173300;Wien Donauturm;48.241996;16.408792
490015900;Wien Grimmgasse;48.18691;16.328366
490149000;Wien Wilhelminenstraße;48.216215;16.319467
490171400;Wien Holbeingasse;48.170495;16.361644
490050800;Wien Hernals, Wattgasse;48.221518;16.321309
490139300;Wien Troststraße/Neilreichgasse;48.170001;16.364395
490076000;Wien Laxenburger Str./Troststr.;48.169093;16.37057
490157300;Wien Troststraße;48.169048;16.380315
490103700;Wien Possingergasse;48.209023;16.318046
490060600;Wien Johnstraße;48.19767;16.319637
490125300;Wien Silbergasse;48.242769;16.348762
490026200;Wien Albrechtskreithgasse;48.21928;16.320464
490166800;Wien Neue Donau;48.246697;16.395246
490010300;Wien Aßmayergasse;48.17873;16.337715
490119100;Wien Ettenreichgasse/Schulzentrum;48.168581;16.37395
490109900;Wien Richthausenstraße;48.223873;16.322757
490171500;Wien Starhemberg-Kaserne;48.170882;16.357024
490179700;Wien Hotel NH Danube City;48.2352;16.422087
490189600;Wien Schipanygasse;48.201472;16.436956
490086300;Wien Meidling Hauptstraße;48.183665;16.328941
490072500;Wien Kugelfanggasse;48.246167;16.398563
490072300;Wien Krottenbachstraße;48.240054;16.340951
490166500;Wien Johnstr./Schuselkagasse;48.199396;16.319071
490061100;Wien Josef-Melichar-Gasse;48.246023;16.401044
490025100;Wien Dänenstraße;48.237096;16.334551
490093700;Wien Niederhofstraße;48.181058;16.331189
490166400;Wien Schmelz, Gablenzgasse;48.206533;16.317264
490006700;Wien Anschützgasse;48.190371;16.323053
490126300;Wien Polkorabplatz;48.174541;16.411786
490023500;Wien Floridsdorfer Brücke;48.248603;16.387866
490036400;Wien Friedstraße;48.245438;16.404639
490042500;Wien Enkplatz;48.174343;16.41531
490126400;Wien Simoningplatz;48.179188;16.420676
490089100;Wien Mooslackengasse;48.248738;16.368341
490157900;Wien Guglgasse;48.185148;16.428146
490178700;Wien Absbergbrücke;48.167718;16.386517
490049100;Wien Heiligenstadt;48.249097;16.365779
490114700;Wien Sandrockgasse;48.246805;16.399021
490001200;Wien Auf der Schmelz;48.203648;16.316617
490042400;Wien Griegstraße;48.249385;16.375335
490144700;Wien Warhanekgasse;48.244477;16.408433
490140300;Wien Unfallkrankenhaus Meidling;48.173758;16.344735
490091100;Wien Johnstraße/Märzstraße;48.196223;16.318397
490113800;Wien Saarplatz;48.245259;16.34976
490171900;Wien Siebeneichengasse;48.188717;16.323404
490033600;Wien Flotowgasse;48.240593;16.338362
